ID,Performance Index,Previous Scores (out of 10),Sample Question Papers Practiced,Hours Studied,Hours Prepared for Exams,Hours Free time,Sleep Hours,Hours Not Sleep,Extracurricular Activities,Has a car,Sex,Height,Weight,BMI,Eye color,Nails length,Favorite Subject,Least Favorite Subject
195,50.0,6,5,4,2,8,5,19,Yes,No,m,1.7456692105784548,80.61670181730861,26.45459530682364,hazel,0.0016905438236701,PE,Art
196,28.0,4,5,5,2,8,8,16,Yes,No,m,1.691762811198316,67.1945168758223,23.477664265421048,gray,0.0057615397510196,Algebra,Machine Learning
197,32.0,3,4,6,3,6,7,17,No,No,m,1.665711445701984,77.87810145675512,28.068280997077373,brown,0.004893159404667,Art,PE
198,44.0,5,7,7,3,9,6,18,No,No,m,1.7167942998700108,62.296822055548446,21.13631959993261,brown,0.0037621684340776,Machine Learning,
199,44.0,4,3,6,3,8,9,15,Yes,No,f,1.6063470000178566,73.37629705546145,28.436559998291905,gray,0.0015511162118428,Algebra,PE
200,52.0,4,6,9,4,6,8,16,Yes,No,f,1.6629688637769655,84.21056674444313,30.45077529041219,hazel,0.0042962022289971,Art,Art
201,34.0,6,1,2,1,9,9,15,No,No,m,1.719985864942564,72.88840636904052,24.638184284043305,gray,0.008830125832632,Music,
202,78.0,10,6,4,2,12,5,19,No,Yes,m,1.698963708148607,70.54842020655533,24.44100664838728,green,0.0077352744139143,Algebra,History
203,27.0,4,4,4,2,5,9,15,Yes,No,m,1.6880460227423546,68.74864021464427,24.12656792288176,green,0.000452288239748,Art,Biology
204,67.0,9,3,1,1,11,9,15,Yes,No,f,1.6898450015657522,65.60297457991497,22.973638806685063,brown,0.0074014904233889,Machine Learning,Biology
205,70.0,9,6,4,2,9,5,19,No,No,f,1.5248792500242303,76.85607493865083,33.05272662632127,blue,0.000560588512034,Machine Learning,
206,45.0,7,3,2,1,12,8,16,No,No,m,1.6373219122442486,63.00103635330005,23.50063219834569,brown,0.0011343076330396,Music,Biology
207,61.0,7,1,8,3,8,6,18,No,,f,1.6747830512788715,77.26022420703768,27.544750932691585,green,0.0049552848402556,,Data Science
208,52.0,7,3,2,1,7,8,16,Yes,No,f,1.6010270525205397,57.68639409058625,22.50484634465777,blue,0.0005555456302942,Music,Biology
209,17.0,3,0,2,1,10,6,18,Yes,No,f,1.628501469260871,77.30970244589341,29.151284254354547,gray,0.0042484917663649,Art,
210,41.0,4,3,8,3,9,6,18,No,No,m,1.782656482376222,75.72786305298585,23.82979883847405,brown,0.0017702010472442,Algebra,Drama
211,33.0,5,2,1,1,13,7,17,No,No,m,1.6810003621242138,60.29193845126771,21.336522258912996,gray,0.0012182895542114,Machine Learning,Art
212,89.0,8,5,9,4,10,4,20,Yes,No,f,1.587578345307929,69.25881581693396,27.479240736505623,hazel,0.0066064836824006,History,PE
213,79.0,8,9,5,2,6,6,18,Yes,No,f,1.5883043339469822,54.87632850118523,21.75292213707026,blue,0.0050745837524147,Art,Drama
214,62.0,9,2,1,1,14,7,17,No,Yes,f,1.6384964308589594,74.39933228860275,27.71264883115094,brown,0.0091576770386959,Data Science,Drama
215,59.0,6,4,4,2,7,6,18,No,No,m,1.6693904210617938,64.18216490153173,23.03024338383419,brown,0.003293809720879,Music,Data Science
216,43.0,6,0,3,2,10,6,18,Yes,No,m,1.7507820440559447,69.31192483356956,22.612250706018237,brown,0.0018518820293623,Music,PE
217,46.0,5,5,7,3,7,4,20,No,Yes,m,1.73366594967992,88.59544763729595,29.47681582459003,brown,0.0099260125732979,Biology,Machine Learning
218,67.0,9,6,3,2,9,8,16,No,No,f,1.611593228982254,65.15264952905443,25.08541057313384,gray,0.0017383559774304,,Biology
219,74.0,8,6,4,2,8,8,16,Yes,,m,1.7105048070565112,72.9391233894249,24.929406623770145,brown,0.0034562582403375,,Art
220,61.0,8,7,1,1,7,8,16,Yes,No,f,1.5450982232107435,67.69945966048425,28.35783140494553,brown,0.0033078850954397,Algebra,Biology
221,54.0,6,8,8,3,5,5,19,Yes,No,f,1.6487602505925716,80.24656629541471,29.5196661107788,blue,0.0005518274026411,History,Art
222,49.0,5,8,9,4,5,7,17,No,No,m,1.7385474284464857,56.740048716647536,18.77226249752405,,0.0049148301837283,Music,History
223,74.0,8,7,7,3,10,5,19,No,No,f,1.739802856113616,43.52040876911485,14.377814858102388,hazel,0.007812899600999,Data Science,History
224,74.0,8,9,9,4,5,9,15,No,,f,1.641955557147594,72.34156616860105,26.832745472302857,brown,0.002448628741376,Biology,Drama
225,50.0,6,0,3,2,12,5,19,Yes,Yes,m,1.7446141581647765,63.28395229786578,20.79193023582548,brown,0.0014696718826392,Machine Learning,Art
226,50.0,6,9,7,3,4,9,15,Yes,,m,1.785735564111993,77.35928478983983,24.259293563885088,green,0.004621037647096,Art,Drama
227,63.0,7,0,9,4,6,6,18,No,No,f,1.6277009623156793,75.0384599707504,28.32270127993861,hazel,0.00648324134927,History,Data Science
228,91.0,9,1,7,3,7,9,15,Yes,No,m,1.657075412223789,69.51314533260808,25.31526007050749,hazel,0.0094933889146509,Algebra,Data Science
229,59.0,7,0,4,2,8,4,20,No,No,m,1.6570535781637523,74.8939772644992,27.275567339477835,brown,0.005341376897961,Music,Biology
230,67.0,9,1,2,1,13,4,20,Yes,Yes,m,1.6048342321107438,98.46909118320048,38.23310508959419,gray,0.0085234068906037,Music,Data Science
231,45.0,6,0,5,2,8,7,17,Yes,Yes,m,1.678413932410466,59.05122039728842,20.961903902065192,hazel,0.0014333161154395,Art,Algebra
232,73.0,8,1,8,3,6,8,16,Yes,No,f,1.655681651092195,60.58484356408955,22.10091830631328,brown,0.0070224087355985,History,Drama
233,45.0,6,1,3,2,14,5,19,Yes,No,f,1.6138372644321464,57.18190186870318,21.9552869286974,brown,0.006978706461554,Art,Drama
234,33.0,4,0,4,2,8,4,20,No,No,m,1.6352805021468406,77.14187266740394,28.84733249618666,brown,0.0051398628626149,Art,History
235,70.0,8,0,6,3,7,4,20,Yes,,f,1.5942322415348085,51.93622427672948,20.434649715972974,green,0.0002286143947212,Data Science,Drama
236,70.0,7,4,6,3,7,5,19,Yes,Yes,m,1.6612839391385148,68.90288207715487,24.96603960457884,gray,0.0041998612598909,,History
237,44.0,4,9,9,4,3,8,16,Yes,No,f,1.701349220899937,52.81500902716954,18.246115734824013,brown,0.0024154898076621,Machine Learning,Data Science
238,56.0,6,4,5,2,8,9,15,Yes,No,f,1.5672197597259352,62.811249019478325,25.5727617323771,brown,0.0055894605901556,Art,PE
239,51.0,6,6,3,2,10,8,16,Yes,No,f,1.5537012647153328,70.87014512872001,29.3581228595386,brown,0.0091768708510012,Art,Algebra
240,57.0,5,8,7,3,4,8,16,No,No,m,1.7365566048828038,68.16349401376931,22.603409632274037,gray,0.0032257078540199,PE,Art
241,73.0,6,8,9,4,7,6,18,Yes,No,f,1.625878176218145,67.7936693896428,25.64561615478872,gray,0.0038384828140145,,Algebra
242,68.0,7,3,3,2,13,6,18,Yes,Yes,f,1.622403888556364,50.55383752587294,19.20596668545173,gray,0.0067200816601746,Algebra,Art
243,79.0,9,3,8,3,9,5,19,No,No,m,1.6361147471281994,68.30230075656725,25.51571923790919,brown,0.0084371611976745,Data Science,History
244,64.0,9,2,1,1,10,7,17,Yes,No,f,1.615408514372633,81.89273086319922,31.382000031564964,brown,0.0080636530923376,,Biology
245,61.0,8,9,2,1,9,4,20,No,No,m,1.613329143432342,70.07423241449543,26.922314369382075,hazel,0.0007959976328691,History,Machine Learning
246,78.0,9,9,6,3,5,9,15,No,No,m,1.7162192532270788,53.59423187442192,18.19585684527122,brown,0.0019317455693244,Music,Data Science
247,56.0,6,9,9,4,4,8,16,Yes,No,m,1.7733098379477368,67.14606963581896,21.3526287701789,hazel,0.0034864231570692,PE,Drama
248,43.0,5,5,8,3,5,8,16,Yes,No,m,1.7979611100065154,78.70094814223033,24.345538050050735,brown,0.0092381070626591,PE,Biology
249,30.0,5,4,3,2,12,8,16,No,No,f,1.6100719682757083,62.29857604413431,24.03186868798849,brown,0.0058953205166189,Biology,Drama
250,82.0,9,4,7,3,5,7,17,Yes,No,m,1.6439907671550609,78.37305564056119,28.997999045254783,hazel,0.00982863431595,PE,History
251,64.0,7,5,8,3,6,9,15,No,No,m,1.561225506181206,71.59349204471873,29.372591838153166,brown,0.0038777866528925,Drama,History
252,64.0,7,1,5,2,6,6,18,Yes,No,m,1.6943167648272737,75.91736281468118,26.44550697833699,blue,0.0029145302752735,,Drama
253,67.0,6,8,8,3,5,8,16,Yes,No,m,1.685917767899907,58.79268966417754,20.6847631998437,brown,0.0005061256628993,,Biology
254,53.0,5,5,9,4,7,7,17,Yes,Yes,m,1.7268298562940998,73.19576775476416,24.546347194662637,brown,0.0085799571575959,Art,Biology
255,66.0,8,7,4,2,8,5,19,No,No,f,1.5775542767055908,85.7433922485356,34.45339638743851,gray,0.0062145829576122,Machine Learning,PE
256,46.0,6,1,3,2,10,7,17,Yes,No,m,1.7596646231015134,73.3830643036983,23.699328295282548,brown,0.0072614830325417,Art,Biology
257,55.0,7,2,5,2,5,8,16,Yes,Yes,m,1.7090799047043137,80.20730991623033,27.4592843991656,brown,0.0029961483527115,Biology,Drama
258,76.0,9,1,6,3,6,7,17,No,No,f,1.5587844403475146,66.9203833413637,27.54141795869159,,0.001751709330456,Algebra,
259,40.0,4,3,7,3,7,6,18,Yes,No,m,1.8457082291307392,74.90175515024701,21.986996001847597,gray,0.0036057319989457,Algebra,Data Science
260,37.0,4,2,6,3,9,7,17,Yes,No,f,1.5758026958472655,65.16017046986836,26.240888360054424,gray,0.0077290335041735,Music,History
261,63.0,7,6,4,2,9,5,19,No,No,f,1.5930310265961083,62.57668366469274,24.65835351720484,blue,0.0033326270109665,PE,Biology
262,61.0,7,3,2,1,10,9,15,Yes,,m,1.737024716329575,64.12709428476226,21.25345625444545,gray,0.0007248042374208,Drama,History
263,67.0,7,3,3,2,14,5,19,Yes,Yes,m,1.7342082289490266,88.87472482268977,29.55124508423268,gray,0.0098301332365119,Algebra,Machine Learning
264,82.0,9,3,4,2,7,8,16,Yes,No,f,1.6677012013637948,67.61848977347904,24.312464445347963,gray,0.0083990386577896,Data Science,History
265,46.0,6,2,1,1,10,6,18,Yes,No,f,1.5465489841242333,66.50088527728612,27.80353821071113,gray,0.0098458559382177,,Biology
266,32.0,5,2,5,2,13,5,19,No,No,m,1.6481752844115818,78.00194924696768,28.71432827624941,hazel,0.0068575007335617,Algebra,
267,48.0,6,0,3,2,9,4,20,No,No,m,1.6675205050941906,64.98905891979273,23.372107872411885,brown,0.0017853610197307,Art,History
268,81.0,10,5,5,2,5,8,16,No,No,m,1.714968744217379,69.71151850673297,23.702389158781767,gray,0.0067278762870304,PE,
269,52.0,5,1,9,4,5,8,16,Yes,No,f,1.6055757800199175,55.11536242601793,21.38016493068378,hazel,0.0056077292638603,Art,Algebra
270,80.0,8,2,6,3,12,5,19,Yes,No,m,1.7307760209413674,70.87985487594288,23.66143503150244,gray,0.0062440373573071,Algebra,Art
271,69.0,7,7,7,3,9,4,20,Yes,No,f,1.580083833369151,57.65290568850883,23.091967694868128,hazel,0.002494998173608,Drama,PE
272,61.0,7,6,7,3,7,9,15,Yes,,m,1.7116390962036865,91.98248835052507,31.3964654253667,brown,0.0087378889893754,Machine Learning,
273,59.0,7,5,6,3,6,9,15,Yes,No,f,1.6424850951899004,73.7305872595517,27.330326412118453,brown,0.0062395334523852,Drama,PE
274,48.0,6,9,4,2,8,7,17,Yes,Yes,m,1.7730528871723978,66.04278204511986,21.00786797724339,gray,0.0083985347467488,Drama,History
275,41.0,4,9,6,3,9,4,20,No,No,f,1.5142691571563105,74.83988062857114,32.6382551183721,brown,0.0028612392056147,Art,PE
276,73.0,8,4,6,3,8,5,19,No,No,m,1.6911338353165113,66.04933369199114,23.09470840912225,green,0.0030296723870112,Drama,Algebra
277,33.0,5,5,5,2,8,5,19,Yes,No,f,1.5356056378742506,43.76550164625833,18.559766792486855,brown,0.0051570497351251,PE,Algebra
278,74.0,7,5,7,3,6,5,19,Yes,No,m,1.608920497347297,60.48137081902179,23.364282938713345,gray,0.0077847678036708,Algebra,
279,80.0,9,2,3,2,12,5,19,Yes,No,f,1.5533175512421755,86.68424065860992,35.92689215165726,gray,0.0053082497944263,PE,
280,30.0,4,7,7,3,10,4,20,No,No,m,1.7499511158611387,69.42518690299298,22.67071532512778,green,0.0039220783350051,PE,Art
281,83.0,7,3,9,4,5,9,15,No,No,m,1.622546129584833,74.36669187909504,28.24778227753643,gray,0.0006898827252747,Music,
282,60.0,7,1,5,2,8,8,16,Yes,No,m,1.7020135830652896,79.09170433847994,27.302655598123124,gray,0.0027034256617602,Music,Biology
283,26.0,3,8,2,1,10,9,15,Yes,No,m,1.6931915489617564,71.55939354203092,24.960568178643683,gray,0.0015871235310312,,Algebra
284,65.0,7,1,7,3,12,4,20,Yes,Yes,m,1.68075764203431,76.63996390691702,27.12970693613098,gray,0.0041592859237541,Algebra,Art
285,42.0,5,1,8,3,6,4,20,No,No,m,1.760399637382711,64.45849211859604,20.79972537847853,brown,0.0087801871415681,Art,History
286,20.0,4,6,1,1,13,6,18,No,No,f,1.553463033968223,62.31239346201696,25.820971988239734,brown,0.0068725895370285,,History
287,31.0,4,2,3,2,15,5,19,Yes,No,m,1.5990213112014775,63.99663443144799,25.029295824320137,brown,0.0030461346899717,,PE
288,77.0,8,2,4,2,10,8,16,Yes,No,m,1.7122022882864525,71.17094543848668,24.2768641901662,,0.0084320186438307,Biology,History
289,86.0,8,3,9,4,5,5,19,Yes,Yes,m,1.6568638937666569,57.35372623203354,20.892382631844644,gray,0.0083601635896894,Music,PE
290,43.0,6,0,3,2,11,9,15,Yes,No,m,1.707069057509163,72.30118461097885,24.81094078907012,brown,0.0003277769023491,Music,Art
291,47.0,4,1,9,4,4,8,16,Yes,,f,1.5023576824583569,85.24497991426244,37.76783834026983,brown,0.0002457418541147,Art,Data Science
292,74.0,9,8,5,2,6,8,16,No,No,m,1.726707130093405,61.50582301994212,20.62903295029596,gray,0.0025021380402703,Biology,Art
293,42.0,4,8,9,4,3,9,15,Yes,No,f,1.63243015299066,,,brown,0.0043664179216983,Music,
294,21.0,4,9,3,2,8,5,19,Yes,No,f,1.6740798781178237,76.99922371385162,27.47476547947355,brown,0.0079411553615639,Art,Machine Learning
295,27.0,3,2,6,3,9,5,19,No,No,f,1.6169095607645267,76.64105656344665,29.31500855041047,brown,0.0042813856253976,History,Art
296,68.0,6,6,8,3,3,9,15,No,No,m,1.618146483938435,56.46712271083887,21.565522801774176,gray,0.0044913089958701,History,Drama
297,80.0,9,2,7,3,7,7,17,No,Yes,f,1.504136753274362,77.85504226940373,34.41217305536188,brown,0.0022544768403595,Algebra,History
298,46.0,6,4,7,3,11,5,19,No,No,m,1.6551953132280064,56.38287534058388,20.58015890864296,brown,0.007708889225072,Algebra,PE
299,72.0,9,2,1,1,14,5,19,No,No,m,1.7054107940045131,83.42094232749301,28.68250490370552,gray,0.0077422189302891,Data Science,Algebra
300,76.0,10,9,1,1,10,6,18,No,No,f,1.608058041393451,55.23469964749455,21.360359438384386,gray,0.0001768263221146,Machine Learning,Biology
301,49.0,6,7,7,3,6,4,20,No,No,f,1.5646511654828623,57.98709068050426,23.68624755827461,green,0.0015249754311113,Drama,Algebra
302,69.0,9,3,1,1,10,7,17,No,No,m,1.6690231827988409,74.44909483475551,26.72604428598134,brown,0.0061453972311298,Art,Algebra
303,62.0,8,3,3,2,12,6,18,No,No,f,1.5790231785231008,77.94559923026199,31.26184388754317,brown,0.0070010544854646,Music,Algebra
304,75.0,9,1,1,1,14,8,16,No,,f,1.653682094390318,60.32506416291301,22.059402475140537,brown,8.89950532774475e-05,PE,Machine Learning
305,87.0,9,3,9,4,6,8,16,Yes,,m,1.651825796142213,73.29135695363908,26.861129728559693,gray,0.007400693416467,History,Art
306,42.0,5,6,5,2,7,6,18,No,No,m,1.6711088086514052,63.43616009433085,22.71576826541761,gray,0.0079463848662833,,Biology
307,59.0,6,2,7,3,7,5,19,No,No,m,1.7569463510623775,57.00395908246646,18.46664578537173,green,0.0054757984597143,Music,
308,66.0,7,7,8,3,9,6,18,No,No,m,1.737169615845124,76.29829311770544,25.283102947514955,gray,0.0071399782710099,Art,PE
309,54.0,5,1,9,4,4,8,16,Yes,No,m,1.7428394106415264,75.65880137297187,24.90833583601672,green,0.007336466251181,Algebra,Machine Learning
310,48.0,5,6,8,3,9,6,18,Yes,,f,1.58736330627497,75.30446886739631,29.88601953488573,brown,0.0046663051846516,History,Machine Learning
311,33.0,3,7,7,3,9,4,20,Yes,No,f,1.5860201377671692,82.21026565934248,32.68200236380552,gray,0.006536134457983,Algebra,Drama
312,52.0,7,2,4,2,14,4,20,Yes,No,f,1.5926211956990286,87.61161338201406,34.54114225857891,hazel,0.0098979935470274,Music,Art
313,46.0,7,0,1,1,11,6,18,No,No,f,1.659534951312285,75.7884731851305,27.518854437994463,brown,0.0096039268505098,Art,Machine Learning
314,58.0,7,2,2,1,14,6,18,Yes,No,m,1.7068545522217686,77.40457883510366,26.568902950476136,brown,0.0061916406249154,Art,PE
315,61.0,7,8,4,2,7,9,15,Yes,Yes,m,1.7470624733819482,67.57745615785956,22.140374824001807,brown,0.0011071637756613,Machine Learning,Algebra
316,13.0,4,9,1,1,11,8,16,Yes,No,m,1.697368116370258,63.75097156613516,22.127621174273447,gray,0.0073708333759811,PE,
317,56.0,5,5,9,4,3,8,16,Yes,Yes,m,1.6875264681539366,72.82435953490254,25.572635430615858,blue,0.0029924329228273,,Data Science
318,82.0,8,1,9,4,4,6,18,No,No,m,1.6058127910917963,55.45946939024489,21.50729956413257,brown,0.0098201652572947,Data Science,
319,82.0,8,0,9,4,9,4,20,Yes,Yes,m,1.6435081017669495,68.24070382144679,25.263865397496087,green,0.0095390519938922,Machine Learning,Drama
320,47.0,6,0,1,1,14,7,17,No,No,m,1.7581967892470218,68.25900494504224,22.0813177735274,brown,0.0067780332265281,PE,Algebra
321,70.0,8,0,2,1,15,6,18,No,No,f,1.6145000928759492,78.11305623075411,29.967290753832508,brown,0.0068111406265849,Data Science,Drama
322,28.0,3,8,4,2,12,4,20,Yes,No,f,1.5351201040540108,87.95783158866837,37.32413878746687,blue,0.0052323053905432,Music,Art
323,50.0,5,9,6,3,12,5,19,Yes,Yes,m,1.720035806332021,76.16411734846213,25.74396509393853,gray,0.0003022042236806,Algebra,Data Science
324,32.0,3,5,6,3,5,9,15,Yes,No,m,1.6702155172121629,58.21793408302701,20.8694864224919,brown,0.0094162229540577,History,Data Science
325,74.0,7,3,7,3,7,9,15,No,No,m,1.6680609782078617,68.02428192469337,24.447818931095547,brown,0.0086049685880457,Data Science,Drama
326,62.0,7,7,8,3,4,7,17,Yes,No,m,1.7940354318953922,93.25775976690429,28.97496677063476,brown,0.0025619012098103,Data Science,Art
327,50.0,7,2,4,2,8,7,17,No,No,f,1.6772713383086384,68.6273747052671,24.39443333241684,hazel,0.0087209007355285,Biology,PE
328,57.0,8,8,2,1,9,4,20,Yes,Yes,f,1.544958223597491,61.822301126314834,25.900710960361774,gray,0.0006497493852193,Algebra,
329,59.0,7,9,6,3,7,4,20,No,,m,1.5985671724728732,68.99504441345636,26.9995246493801,green,0.0056790716564964,Machine Learning,PE
330,50.0,5,7,5,2,13,5,19,Yes,Yes,f,1.6171506709908376,61.71466003031838,23.59866147567804,brown,0.0050593209820795,Algebra,Data Science
331,78.0,9,5,3,2,7,6,18,Yes,No,m,1.57653133264305,62.18276266335795,25.018703483764344,brown,0.0035986420139238,Music,Art
332,67.0,8,9,5,2,7,8,16,No,No,m,1.7443754708896042,72.86359216696613,23.9458708566428,green,0.0015967192055838,Machine Learning,Algebra
333,46.0,3,8,9,4,6,8,16,Yes,No,m,1.6060189330086287,66.83894132565808,25.913629243466712,brown,0.0040998472395353,Algebra,Biology
334,39.0,6,4,2,1,7,9,15,Yes,No,f,1.6678906921778252,57.25538287003346,20.581695707417857,brown,0.0066239344366144,Algebra,Data Science
335,67.0,7,2,4,2,13,4,20,No,,f,1.585983469983294,77.37988286567581,30.763146585224447,gray,0.0022791642989106,Machine Learning,Algebra
336,83.0,8,0,7,3,6,9,15,No,No,m,1.7512832866638983,81.33477999459149,26.519387560633607,green,0.0096401929046098,Music,Art
337,77.0,8,0,9,4,5,9,15,No,No,m,1.7608389364230774,92.43895468690393,29.81369195359531,gray,0.0098512076371254,Art,Drama
338,70.0,7,7,8,3,4,9,15,No,,m,1.7390901609549043,70.732324232272,23.38695785141095,brown,0.006134964694762,Machine Learning,PE
339,43.0,4,7,9,4,5,5,19,No,No,f,1.6432072814602534,65.2473331176558,24.16451393579501,gray,0.0088402931326024,Art,Machine Learning
340,64.0,7,6,3,2,10,9,15,Yes,No,m,1.774630565930464,69.66717151780769,22.121382421400536,gray,0.0034129638324003,Biology,Machine Learning
341,75.0,9,2,5,2,6,9,15,No,No,m,1.6909824443980173,62.03527991592091,21.695044663740468,hazel,0.0056550897554045,Music,PE
342,41.0,6,4,3,2,6,8,16,No,No,m,1.7038602323757563,55.23957359276309,19.027528628759445,gray,0.0049956932395239,Machine Learning,Biology
343,42.0,7,5,1,1,10,8,16,Yes,No,f,1.561200647084474,70.13519127477392,28.77521256719967,brown,0.0042200023488132,Drama,PE
344,53.0,8,1,2,1,13,4,20,Yes,No,f,1.550110326150853,74.51828946252951,31.01256293248284,gray,0.0080977567066001,Machine Learning,Algebra
345,64.0,8,2,6,3,7,7,17,No,No,f,1.5921452589548126,67.25707500463156,26.53215954193633,brown,0.0026670190689216,History,Machine Learning
346,65.0,8,9,6,3,11,6,18,No,Yes,m,1.69758549821336,76.99340722719325,26.71715597989415,gray,0.0033781943742124,History,Algebra
347,49.0,7,1,4,2,10,6,18,Yes,No,f,1.6200913511098556,76.24230782385365,29.048052891550665,green,0.0041351901406375,Biology,PE
348,81.0,9,1,7,3,8,6,18,No,No,m,1.6630078668752777,65.74010072184048,23.77068833028904,brown,0.0046352073052118,Music,Data Science
349,60.0,8,6,4,2,9,8,16,Yes,Yes,m,1.6506818616471854,72.2446722548278,26.51423291103292,gray,0.0069793604666473,,Art
350,27.0,4,7,4,2,6,8,16,No,No,f,1.5110924612793,64.86258370185223,28.40613628170146,brown,0.0009090592200865,Art,Drama
351,72.0,7,7,5,2,6,8,16,Yes,No,m,1.6366974927253353,75.23700194110218,28.086307550220813,brown,0.006742013448363,History,PE
352,70.0,8,6,6,3,7,5,19,No,No,f,1.640725395794483,73.53388026261717,27.315910615664126,gray,0.0060396818430418,Music,
353,59.0,8,3,2,1,8,8,16,No,No,m,1.734128716438839,91.78730688585532,30.52249051404572,brown,0.0097091531982041,Music,PE
354,75.0,8,4,8,3,7,8,16,Yes,No,m,1.7049390793235846,65.38904940505012,22.495067099768058,brown,0.0073823263354317,History,
355,93.0,9,6,8,3,5,9,15,Yes,No,m,1.6814108016396474,55.48263433511416,19.624988332442896,brown,0.0003391476944302,Drama,Algebra
356,64.0,7,9,6,3,7,5,19,No,,m,1.6764448777137306,71.73504782500875,25.524240953660684,gray,0.0099328775851425,History,PE
357,60.0,6,8,6,3,12,4,20,Yes,No,m,1.6671741990320783,78.66352934491265,28.301631147138178,brown,0.0053161751037074,Art,Data Science
358,47.0,6,7,5,2,5,9,15,No,Yes,m,1.7007008514141932,80.31003074882474,27.766039293934057,gray,0.0029124296329376,,PE
359,52.0,4,0,9,4,7,4,20,Yes,No,f,1.5984717780492046,57.46654505013071,22.490812333438704,brown,0.0038157932719971,Algebra,Data Science
360,51.0,5,3,8,3,7,5,19,No,No,f,1.574790286927871,90.97020625040084,36.68206063639928,hazel,0.0079319088726414,Machine Learning,PE
361,82.0,9,8,6,3,7,5,19,Yes,No,m,1.7204534320799325,66.18863447117009,22.361327248958297,brown,0.0063607651674405,Machine Learning,Data Science
362,55.0,5,5,9,4,3,9,15,Yes,No,m,1.816805449089207,77.49463492258285,23.47765892665053,gray,0.0059297668539993,Drama,Algebra
363,80.0,7,7,8,3,9,4,20,Yes,No,m,1.7302728591319798,60.19591841270574,20.10656368666146,green,0.0039180269442188,Biology,Machine Learning
364,56.0,5,9,9,4,6,7,17,No,No,m,1.664495856961154,56.280631626502576,20.313910083414893,blue,0.0081478433546375,Biology,
365,51.0,4,7,9,4,5,9,15,No,Yes,m,1.6291451026251085,69.20576104999645,26.074903778427224,green,0.0051647660099261,PE,Drama
366,56.0,6,5,9,4,4,7,17,Yes,Yes,f,1.6278777187402895,66.64333478740764,25.148562342542107,,0.0050555347075874,Machine Learning,History
367,94.0,9,3,8,3,6,6,18,No,No,m,1.6861285893789344,63.105509185930885,22.1965711309348,brown,0.0062716671108511,,Machine Learning
368,90.0,10,4,6,3,8,9,15,No,Yes,f,1.603948413678772,70.01323756227623,27.21443786798003,brown,0.0084652558845475,,History
369,52.0,5,6,5,2,8,8,16,No,No,m,1.6796412096621114,75.62339754379423,26.805452458401824,blue,0.004310371792012,Machine Learning,
370,45.0,7,3,2,1,12,7,17,No,Yes,m,1.7421527143702176,66.94997563111399,22.058601725378534,green,0.0082024614301277,Biology,Algebra
371,49.0,5,8,7,3,4,9,15,No,No,m,1.6669908525137722,57.60343328860749,20.729171074954497,gray,0.0060080752800963,Music,PE
372,28.0,4,4,5,2,11,7,17,Yes,No,m,1.7127291837740737,79.7043231681637,27.170928676102715,green,0.0045126442012961,History,Art
373,53.0,6,9,7,3,7,6,18,No,Yes,m,1.7056434395175872,62.013380717538496,21.31615706750885,gray,0.000219474897359,Music,PE
374,74.0,9,1,3,2,13,7,17,Yes,No,f,1.571492182022864,79.15462049590943,32.051755520143054,gray,0.0006897409916634,PE,History
375,29.0,5,5,2,1,6,9,15,No,No,m,1.6794325295237729,69.19108352302851,24.53155114495022,gray,0.0067677357804929,,Data Science
376,63.0,7,3,2,1,10,6,18,No,No,m,1.7132055184971555,54.30665924267067,18.5026595566812,gray,0.005556018649389,Drama,Algebra
377,73.0,9,0,4,2,6,8,16,No,No,m,1.7570885777512315,72.25155991346841,23.40237406500481,green,0.0016975581908693,,PE
378,39.0,3,4,8,3,11,4,20,Yes,No,f,1.5447520737013702,73.82520999991867,30.937635417049428,brown,0.0053433823681076,Biology,Data Science
379,64.0,7,9,6,3,6,7,17,Yes,No,f,1.624532626323044,68.9690993900098,26.133506101085604,brown,0.0052315909494619,Machine Learning,
380,42.0,6,8,2,1,14,7,17,No,No,m,1.7212750296708048,60.15269102904526,20.30273396412246,brown,0.0034632928063033,Art,
381,77.0,9,8,5,2,11,7,17,Yes,No,m,1.6636836635687065,71.67069588294726,25.894058035482807,brown,0.0099595512241675,Data Science,History
382,82.0,9,2,6,3,8,9,15,No,Yes,m,1.744263268791397,83.78027615223776,27.53706925091504,hazel,0.0044513797003279,Music,Drama
383,82.0,10,3,6,3,10,6,18,No,No,m,1.6860226984473388,63.454312506238935,22.32206194013113,hazel,0.0054795379804837,Biology,
384,81.0,9,8,6,3,6,9,15,Yes,No,f,1.7325939906960426,52.272958938862814,17.41339601054975,brown,0.001759610520806,Art,History
385,85.0,8,1,9,4,7,5,19,No,,m,1.7873610700896307,63.60131474805569,19.90863591543468,brown,0.0041349115296955,Biology,History
386,55.0,6,9,8,3,4,7,17,Yes,No,m,1.768355028341503,65.93837028105303,21.08624681561144,brown,0.0038754375008087,,Data Science
387,62.0,7,1,3,2,8,9,15,Yes,No,f,1.5427720817703932,72.5633806663515,30.486949088643367,brown,0.0062839562217848,Music,History
388,28.0,4,0,5,2,11,6,18,Yes,No,m,1.6905163661381508,66.40808757401315,23.23711537866234,green,0.0016038466219528,PE,Machine Learning
389,68.0,6,9,8,3,10,4,20,Yes,Yes,m,1.6509817728193448,60.751628377327926,22.28811633932485,brown,0.0099879702542037,Drama,Art
